"id","backdrop_path","first_air_date","genre_ids","idDb","name","origin_country","original_language","original_name","overview","popularity","poster_path","vote_average","vote_count","nbr_seasons","nbr_episodes","page"
278,"/cK5AbLFBY2JDoqEdVXk0697e2SV.jpg","2006-10-11","[35]",4608,"30 Rock","[""US""]","en","30 Rock","La série se déroule dans le célèbre bâtiment new yorkais du 30 Rockefeller Plaza, et relate les vies professionnelles et personnelles des différents personnages travaillant, pour la plupart, pour TGS (The Girlie Show), une émission de télévision fictive, sur la chaîne de télévision américaine NBC. L'équilibre de l'émission est chamboulé par l'arrivée de Tracy Jordan, une ancienne star excentrique d'Hollywood, ainsi que le nouveau directeur de NBC, Jack Donaghy.",406.312,"/p0aXNISftoW4wP1GJc6SCdQhK2Q.jpg",7.4,594,7,138,11
279,"/4gFB4BF4zojCrD5JVHp74xWcoQL.jpg","1960-09-13","[80]",12272,"Thriller","[""US""]","en","Thriller","",403.526,"/lLrNBo5Krzu1oNlxEqKprk8UW5b.jpg",6.2,13,2,67,11
280,"/aCiXh5QX6bg0BtpFEBXKaZYScB4.jpg","2005-06-06","[10763,10764,99]",203599,"東張西望","[""HK""]","cn","東張西望","",401.304,"/qo6y0XvSBlKM3XCbYVdcR3a6qyQ.jpg",6.7,14,19,5348,11
281,"/xF4zSVyrOBO60Lwu2wDN0dBjEgk.jpg","1998-09-21","[35]",4238,"Un gars du Queens","[""US""]","en","The King of Queens","Doug Heffernan, chauffeur-livreur, et son épouse Carrie, secrétaire dans un cabinet d'avocats, mènent une vie paisible dans le Queens (quartier de New York) jusqu'au jour où l'excentrique père de Carrie vient s'installer chez eux…",400.449,"/bhkkaLKrOdqmEtXHugY1uRCdZNg.jpg",7.1,542,9,207,11
282,"/4043WFrLsGnZa3RL4Po9buc1EtF.jpg","2011-10-23","[18,10765]",39272,"Once Upon a Time","[""US""]","en","Once Upon a Time","De nos jours, dans une bourgade du Maine appelée Storybrooke, les contes de fées existent encore. C'est ce que va découvrir Emma, une jeune femme au passé trouble, embarquée dans un merveilleux et tragique voyage par le fils qu'elle a abandonné 10 ans plus tôt. Elle croisera sur son chemin la méchante Reine, qui n'est autre que l'impitoyable Maire de la ville, Blanche Neige, devenue la douce Soeur Mary Margaret Blanchard, Rumplestiltskin, l'effrayant expert en magie noire ou encore Archie, le sympathique Jiminy Cricket local. Avec son arrivée, c'est l'espoir de toute une communauté amnésique qui renaît...",398.992,"/xo2rvKpbKTC8sQ6ELYssjWy2IMP.jpg",7.3,1963,7,156,11
283,"/jB3CQHS4zBzD00yZG936WmsH6P4.jpg","1989-01-08","[80,18,9648]",790,"Hercule Poirot","[""GB""]","en","Agatha Christie's Poirot","Hercule Poirot, ancien policier belge, a fui son pays pendant la Première Guerre mondiale. Désormais, il vit à Londres et exerce en tant que détective privé. Sa réputation d'enquêteur hors pair est internationale et de nombreuses personnes font appel à lui pour percer des mystères que la police n'a pas su résoudre.",396.701,"/jvYwxxkuWxN6wXIHMzeSoO6tJuY.jpg",8.2,401,13,70,11
284,"/4urs3DgIgWdvOra73MHnC376CYh.jpg","2011-10-25","[35,80,18,9648]",41956,"Meurtres au paradis","[""GB""]","en","Death in Paradise","Le détective Richard Poole est muté à Sainte Marie, une île des Caraïbes. Totalement inadapté au style de vie caribéen, Richard déteste le soleil, la mer et le sable et n'est pas habitué aux méthodes policières de Sainte Marie. Travaillant de pair avec l'exotique Camille, chaque semaine, Richard enquête sur des meurtres complexes et inhabituels.",395.117,"/zPBnR8alr8bTlnJt6XdI57UFbGO.jpg",7.5,212,12,96,11
285,"/7zDjaT3hSNkjUDtiG1W2vOdecVB.jpg","2016-09-12","[10767]",67824,"Quotidien","[""FR""]","fr","Quotidien","Quotidien est une émission de télévision française présentée par Yann Barthès et diffusée sur TMC.",394.909,"/7MLudN84q0YD3vLYIeqcbXjMNBW.jpg",8.3,4,8,331,11
286,"/iq7kBdJfpbyt9hMZUaF6B0osr3v.jpg","1985-09-18","[10759,80,18]",4297,"Equalizer","[""US""]","en","The Equalizer","Robert McCall, agent des services secrets américains à la retraite, tente de racheter ses actions passées en offrant (presque) gratuitement ses services aux plus démunis face aux criminels de toutes sortes.",394.104,"/he4X6Ca0KUPOfkIwFshR9JcPs3p.jpg",7.2,47,4,88,11
287,"/axanatjrKAXS34wMOBtwYjXTbAb.jpg","1998-09-26","[10759,35,80]",4397,"V.I.P.","[""US""]","en","V.I.P.","Vallery Irons, une femme qui a sauvé accidentellement une célébrité, est embauchée par une véritable agence de gardes du corps comme une célèbre figure de proue, alors que ce sont les autres membres de l'agence qui travaillent à résoudre les cas. Ironie du sort, son manque de compétences d'enquêtrice finira par vaincre les antagonistes dans chaque épisode.

Les autres membres de l'équipe sont un panel de personnes issues de milieux fort différents : un ancien membre du KGB, CIA, FBI, une spécialiste en informatique, un maître en karaté, un ancien policier et un ancien boxeur de rue.",393.374,"/2pHBPVGn2DpYEAHBdT62nc0untt.jpg",5.2,52,4,88,12
