"id","movie_Id","air_date","nbr_episodes","name","poster_path","vote_average"
1063,48891,"2019-01-10",18,"Saison 6","/imcxmIEU00wm8n1V4xL8mJYYH5Q.jpg",7.4
1064,48891,"2020-02-06",13,"Saison 7","/mWWqh0Knb01YSY0bZaCX4mEIJJO.jpg",7.8
1065,48891,"2021-08-12",9,"Saison 8","/k8tqURQ203YrvWEQIXbJwUYE62R.jpg",6.6
1066,56570,"2014-08-09",75,"Épisodes spéciaux","/8aORMKeyjt6HLli1INK4zjLmsxh.jpg",0
1067,56570,"2014-08-09",16,"Saison 1","/p7djJUKvFcgB2IcUrfLOjb7MFF.jpg",8.3
1068,56570,"2016-04-09",13,"Saison 2","/5dLZw9BlbzdJKfpAqg3EI4hZcuy.jpg",8.2
1069,56570,"2017-09-10",13,"Saison 3","/3Icry7PwIq1YR94thRTcjZXeB4M.jpg",8.2
1070,56570,"2018-11-04",13,"Saison 4","/vJjPEVw1MXP32Et10CIE2vdxSjk.jpg",7.7
1071,56570,"2020-02-16",12,"Saison 5","/b3gPcoHTVJ7IGvVqzINwXYYJyN8.jpg",8.2
1072,56570,"2022-03-06",8,"Saison 6","/eaGTjUzJwYMTGhGXuK5vitWORHs.jpg",7.8
1073,56570,"2023-06-16",8,"Saison 7","/qoaOvGcog7hXmsWq7XgngMavEjL.jpg",6.2
1074,56570,"null",0,"Saison 8","null",0
1075,95057,"2021-02-23",1,"Épisodes spéciaux","/1gJY5jdHnvOktLnNb9MifAbu33c.jpg",0
1076,95057,"2021-02-23",15,"Saison 1","/dsnYL6Sidc1teh6VrCWp1YoBuAu.jpg",7.8
1077,95057,"2022-01-11",15,"Saison 2","/xL8lnqtfQQVAB0DGt6Q6xAdTfzm.jpg",6.6
1078,95057,"2023-03-14",13,"Saison 3","/seVLwKs612YldRiOYVCYDn3YEzy.jpg",6.4
1079,95057,"null",0,"Saison 4","null",0
1080,44006,"2014-02-11",1,"Épisodes spéciaux","null",0
1081,44006,"2012-10-10",24,"Saison 1","/B2gidijoT4fVWFST7gEofoZSHu.jpg",7.7
1082,44006,"2013-09-24",22,"Saison 2","/10eS5MFkzRnKE9uFsWQpKJHkcYN.jpg",8.1
1083,44006,"2014-09-23",23,"Saison 3","/mjToEZq9GqAvBMC8lqxU0MCJBPR.jpg",7.9
1084,44006,"2015-10-13",23,"Saison 4","/76VpwJKJ1Zjbdq3SFqCxacPzg1h.jpg",7.6
1085,44006,"2016-10-11",22,"Saison 5","/hRA71ggrllOAzgo6E3rY9FuSdyM.jpg",7.7
1086,44006,"2017-09-28",23,"Saison 6","/jwm72Mmow7fDFrii0XfPN5zP3zi.jpg",6.2
1087,44006,"2018-09-26",22,"Saison 7","/peeQi1mxPkzdfVdlAcS8qQeM3ps.jpg",7.6
1088,44006,"2019-09-25",20,"Saison 8","/k7k7CDyBz8Ok2RoemwQ1zS9Iw0R.jpg",8
1089,44006,"2020-11-11",16,"Saison 9","/n12TNgEp57ByhKgAhSj6u5f7kKE.jpg",7.3
1090,44006,"2021-09-22",22,"Saison 10","/1JPFVwchL386uBZ8lUg9pE2xBfd.jpg",8.1
1091,44006,"2022-09-21",22,"Saison 11","/e9zFzWC3pfDmVaX8qoJei5fDno6.jpg",7.6
1092,1413,"2012-09-25",14,"Épisodes spéciaux","/khisxfaLFq81N1CAmlJGG6HZBYW.jpg",0
1093,1413,"2011-10-05",12,"Murder House","/n7qB6yELp8k4tW4SalLLl7dC923.jpg",7.6
1094,1413,"2012-10-17",13,"Asylum","/3KB77H9fem8VxDZQQ0B0eoqmbGA.jpg",7.5
1095,1413,"2013-10-09",13,"Coven","/1BJl98sCwzlsr9E29YGL7ped1Tk.jpg",7.6
1096,1413,"2014-10-08",13,"Freak Show","/4LYbeGAYV4pKiiaNvFl4Wj8bFSE.jpg",7.2
1097,1413,"2015-10-07",12,"Hôtel","/bjCQKHlYrmxmUsv8FdnhqzxogeI.jpg",6.9
1098,1413,"2016-09-14",10,"Roanoke","/47oZ4lmHzEw7XwYhFsEN6W9vlhh.jpg",6.5
1099,1413,"2017-09-05",11,"Cult","/gwSzP1cJL2HsBmGStN2vOg3d4Qd.jpg",6.8
1100,1413,"2018-09-12",10,"Apocalypse","/3Ua0MOkXe5kSJKRDMerDMAMjXKx.jpg",7.2
1101,1413,"2019-09-18",9,"1984","/uR2K0Ui9UsOqnzb5IrV6tLUcUHl.jpg",7.8
1102,1413,"2021-08-24",10,"Double Feature","/bIH2VWrLNxG1xjRx32wODGFlpJz.jpg",7.6
1103,1413,"2022-10-18",10,"New York City","/o3nAXhOwUT6ANAuhMMdN3dcGSau.jpg",7.7
